Local time,Ask,Bid,AskVolume,BidVolume
27.07.2020 05:00:15.231 GMT+0700,1902.102,1901.228,75,370
27.07.2020 05:00:15.332 GMT+0700,1902.392,1901.228,370,370
27.07.2020 05:00:15.912 GMT+0700,1902.302,1901.228,75,370
27.07.2020 05:00:16.221 GMT+0700,1902.392,1901.228,370,370
27.07.2020 05:00:16.272 GMT+0700,1902.542,1901.258,370,370
27.07.2020 05:00:16.322 GMT+0700,1902.412,1901.288,370,370
27.07.2020 05:00:16.423 GMT+0700,1902.322,1901.318,370,75
27.07.2020 05:00:16.767 GMT+0700,1902.352,1901.358,370,370
27.07.2020 05:00:17.110 GMT+0700,1902.352,1901.378,370,370
27.07.2020 05:00:17.211 GMT+0700,1902.322,1901.508,370,75
27.07.2020 05:00:17.261 GMT+0700,1902.322,1901.468,370,75
27.07.2020 05:00:17.678 GMT+0700,1902.322,1901.398,370,370
27.07.2020 05:00:17.729 GMT+0700,1902.322,1901.528,370,75
27.07.2020 05:00:17.953 GMT+0700,1902.322,1901.498,370,150
27.07.2020 05:00:18.003 GMT+0700,1902.322,1901.518,370,75
27.07.2020 05:00:18.054 GMT+0700,1902.322,1901.278,370,370
27.07.2020 05:00:18.104 GMT+0700,1902.322,1901.408,370,370
27.07.2020 05:00:18.381 GMT+0700,1902.322,1901.418,370,75
27.07.2020 05:00:18.542 GMT+0700,1902.322,1901.408,370,370
27.07.2020 05:00:18.593 GMT+0700,1902.302,1901.408,370,370
27.07.2020 05:00:18.959 GMT+0700,1902.342,1901.428,370,370
27.07.2020 05:00:19.522 GMT+0700,1902.382,1901.428,370,370
27.07.2020 05:00:19.572 GMT+0700,1902.382,1901.458,370,75
27.07.2020 05:00:20.142 GMT+0700,1902.382,1901.428,370,370
27.07.2020 05:00:20.242 GMT+0700,1902.382,1901.498,370,75
27.07.2020 05:00:20.647 GMT+0700,1902.322,1901.388,370,370
27.07.2020 05:00:20.697 GMT+0700,1902.372,1901.518,370,75
27.07.2020 05:00:20.798 GMT+0700,1902.342,1901.448,370,370
27.07.2020 05:00:20.848 GMT+0700,1902.342,1901.488,370,75
27.07.2020 05:00:20.899 GMT+0700,1902.342,1901.478,370,75
27.07.2020 05:00:20.949 GMT+0700,1902.342,1901.488,370,75
27.07.2020 05:00:21.072 GMT+0700,1902.342,1901.448,370,450
27.07.2020 05:00:21.131 GMT+0700,1902.342,1901.478,370,75
27.07.2020 05:00:21.241 GMT+0700,1902.342,1901.448,370,450
27.07.2020 05:00:21.292 GMT+0700,1902.322,1901.438,370,370
27.07.2020 05:00:21.342 GMT+0700,1902.362,1901.428,370,370
27.07.2020 05:00:21.671 GMT+0700,1902.322,1901.448,370,370
27.07.2020 05:00:21.721 GMT+0700,1902.322,1901.378,370,370
27.07.2020 05:00:21.772 GMT+0700,1902.192,1901.288,370,370
27.07.2020 05:00:22.062 GMT+0700,1902.162,1901.258,370,370
27.07.2020 05:00:22.850 GMT+0700,1902.242,1901.308,370,370
27.07.2020 05:00:22.901 GMT+0700,1902.172,1901.278,370,370
27.07.2020 05:00:23.232 GMT+0700,1902.162,1901.268,370,370
27.07.2020 05:00:23.971 GMT+0700,1902.122,1901.198,370,370
27.07.2020 05:00:24.022 GMT+0700,1902.152,1901.258,370,370
27.07.2020 05:00:25.258 GMT+0700,1902.132,1901.208,370,370
27.07.2020 05:00:25.582 GMT+0700,1902.072,1901.188,370,370
27.07.2020 05:00:25.683 GMT+0700,1902.112,1901.268,370,370
27.07.2020 05:00:25.784 GMT+0700,1902.142,1901.288,370,370
27.07.2020 05:00:27.344 GMT+0700,1902.102,1901.248,370,370
27.07.2020 05:00:27.514 GMT+0700,1902.132,1901.288,370,370
27.07.2020 05:00:27.961 GMT+0700,1902.082,1901.208,370,370
27.07.2020 05:00:28.062 GMT+0700,1902.062,1901.168,370,370
27.07.2020 05:00:28.441 GMT+0700,1902.192,1901.348,370,370
27.07.2020 05:00:28.643 GMT+0700,1902.192,1901.328,370,370
27.07.2020 05:00:28.744 GMT+0700,1902.242,1901.348,370,370
27.07.2020 05:00:29.460 GMT+0700,1902.282,1901.328,370,370
27.07.2020 05:00:30.051 GMT+0700,1902.302,1901.378,370,370
27.07.2020 05:00:30.202 GMT+0700,1902.312,1901.408,370,370
27.07.2020 05:00:30.872 GMT+0700,1902.292,1901.378,370,370
27.07.2020 05:00:30.922 GMT+0700,1902.282,1901.418,370,370
27.07.2020 05:00:30.972 GMT+0700,1902.262,1901.388,370,370
27.07.2020 05:00:31.536 GMT+0700,1902.222,1901.308,370,370
27.07.2020 05:00:31.587 GMT+0700,1902.242,1901.378,370,370
27.07.2020 05:00:32.122 GMT+0700,1902.222,1901.328,370,370
27.07.2020 05:00:32.222 GMT+0700,1902.282,1901.378,370,370
27.07.2020 05:00:32.431 GMT+0700,1902.242,1901.378,370,370
27.07.2020 05:00:33.031 GMT+0700,1902.232,1901.328,370,370
27.07.2020 05:00:34.871 GMT+0700,1902.242,1901.378,370,370
27.07.2020 05:00:37.102 GMT+0700,1902.282,1901.378,370,370
27.07.2020 05:00:40.062 GMT+0700,1902.242,1901.378,370,370
27.07.2020 05:00:44.642 GMT+0700,1902.252,1901.358,370,370
27.07.2020 05:00:44.941 GMT+0700,1902.272,1901.208,370,370
27.07.2020 05:00:45.301 GMT+0700,1902.292,1901.268,370,370
27.07.2020 05:00:45.402 GMT+0700,1902.332,1901.328,370,370
27.07.2020 05:00:47.702 GMT+0700,1902.322,1901.368,370,370
27.07.2020 05:00:47.903 GMT+0700,1902.402,1901.418,370,370
27.07.2020 05:00:52.450 GMT+0700,1902.462,1901.448,370,370
27.07.2020 05:00:52.501 GMT+0700,1902.442,1901.468,370,370
27.07.2020 05:00:52.689 GMT+0700,1902.512,1901.508,370,370
27.07.2020 05:00:52.739 GMT+0700,1902.512,1901.518,370,370
27.07.2020 05:00:55.073 GMT+0700,1902.202,1901.518,370,370
27.07.2020 05:00:55.173 GMT+0700,1902.212,1901.258,370,370
27.07.2020 05:00:55.224 GMT+0700,1902.142,1901.198,370,370
27.07.2020 05:00:56.031 GMT+0700,1902.092,1901.178,370,370
27.07.2020 05:00:57.892 GMT+0700,1902.102,1901.188,370,370
27.07.2020 05:00:59.782 GMT+0700,1902.202,1901.248,370,370
27.07.2020 05:00:59.833 GMT+0700,1902.172,1901.248,370,370
27.07.2020 05:00:59.984 GMT+0700,1902.192,1901.288,370,370
27.07.2020 05:01:00.034 GMT+0700,1902.182,1901.258,370,370
27.07.2020 05:01:00.253 GMT+0700,1902.142,1901.198,370,370
27.07.2020 05:01:00.304 GMT+0700,1902.052,1901.118,370,370
27.07.2020 05:01:00.455 GMT+0700,1902.052,1901.158,370,370
27.07.2020 05:01:00.590 GMT+0700,1901.452,1901.188,370,370
27.07.2020 05:01:00.640 GMT+0700,1902.102,1901.188,370,370
27.07.2020 05:01:00.914 GMT+0700,1902.162,1901.148,370,370
27.07.2020 05:01:00.964 GMT+0700,1902.162,1901.178,370,370
27.07.2020 05:01:01.065 GMT+0700,1901.982,1901.068,370,370
27.07.2020 05:01:01.209 GMT+0700,1902.062,1901.118,370,370
27.07.2020 05:01:01.343 GMT+0700,1902.092,1901.108,370,370
27.07.2020 05:01:01.394 GMT+0700,1902.042,1901.088,370,370
27.07.2020 05:01:01.495 GMT+0700,1902.012,1901.088,370,370
27.07.2020 05:01:01.923 GMT+0700,1902.142,1901.008,370,370
27.07.2020 05:01:01.973 GMT+0700,1901.942,1901.028,370,370
27.07.2020 05:01:04.549 GMT+0700,1901.892,1900.998,370,370
